Ontology ID	label	alternative term	definition	definition source	term editor	ontology term requester	term tracker item	logical type	parent class	function
ID	A rdfs:label	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|		A ontology term requester	A term tracker item	CLASS_TYPE	C % SPLIT=|	C 'has function' some % SPLIT=|
VBassay:0000109	glass bottle							subclass	device	contain function
VBassay:0000110	glass bottle coated with insecticides							subclass	glass bottle	contain function
VBassay:0000111	dipstick wicking test strip							subclass	device	measure function
VBassay:0000112	immunochromatographic nitrocellulose membrane strip							subclass	device	material separation function
VBassay:0000113	fluorescence reader							subclass	device	measure function
VBassay:0000114	blood meal		"A processed material that is a dry, inert powder made from blood, used as a high-nitrogen organic fertilizer and a high protein animal feed."	https://en.wikipedia.org/wiki/Blood_meal				subclass	processed material	
										
										
										
										
										
										
										
										
										
										
										