IRI	Label
http://purl.obolibrary.org/obo/OBI_0003064	organism detection datum
http://purl.obolibrary.org/obo/OBI_0003256	lung microbiology datum
http://purl.obolibrary.org/obo/OBI_0003274	virus in lung datum
http://purl.obolibrary.org/obo/OBI_0003273	eukaryota in lung datum
http://purl.obolibrary.org/obo/OBI_0003272	bacteria in lung datum
http://purl.obolibrary.org/obo/OBI_0003248	urine microbiology datum
http://purl.obolibrary.org/obo/OBI_0003267	eukaryota in urine datum
http://purl.obolibrary.org/obo/OBI_0003244	blood microbiology datum
http://purl.obolibrary.org/obo/OBI_0003382	placental blood microbiology datum
http://purl.obolibrary.org/obo/OBI_0003383	eukaryota in placental blood datum
http://purl.obolibrary.org/obo/OBI_0003263	eukaryota in blood datum
http://purl.obolibrary.org/obo/OBI_0003281	eukaryota in umbilical cord blood datum
http://purl.obolibrary.org/obo/OBI_0003262	virus in blood datum
http://purl.obolibrary.org/obo/OBI_0003261	bacteria in blood datum
http://purl.obolibrary.org/obo/OBI_0003260	umbilical cord blood microbiology datum
http://purl.obolibrary.org/obo/OBI_0003246	feces microbiology datum
http://purl.obolibrary.org/obo/OBI_0003266	virus in feces datum
http://purl.obolibrary.org/obo/OBI_0003265	eukaryota in feces datum
http://purl.obolibrary.org/obo/OBI_0003264	bacteria in feces datum
http://purl.obolibrary.org/obo/OBI_0003255	endotracheal tube aspirate microbiology datum
http://purl.obolibrary.org/obo/OBI_0003271	bacteria in endotracheal tube aspirate datum
http://purl.obolibrary.org/obo/OBI_0003251	induced sputum microbiology datum
http://purl.obolibrary.org/obo/OBI_0003270	virus in induced sputum datum
http://purl.obolibrary.org/obo/OBI_0003269	eukaryota in induced sputum datum
http://purl.obolibrary.org/obo/OBI_0003268	bacteria in induced sputum datum
http://purl.obolibrary.org/obo/OBI_0003258	pleural fluid microbiology datum
http://purl.obolibrary.org/obo/OBI_0003280	virus in pleural fluid datum
http://purl.obolibrary.org/obo/OBI_0003279	eukaryota in pleural fluid datum
http://purl.obolibrary.org/obo/OBI_0003278	bacteria in pleural fluid datum
http://purl.obolibrary.org/obo/OBI_0003257	nasopharyngeal or oropharyngeal swab microbiology datum
http://purl.obolibrary.org/obo/OBI_0003277	virus in nasopharyngeal or oropharyngeal swab datum
http://purl.obolibrary.org/obo/OBI_0003276	eukaryota in nasopharyngeal or oropharyngeal swab datum
http://purl.obolibrary.org/obo/OBI_0003275	bacteria in nasopharyngeal or oropharyngeal swab datum
http://purl.obolibrary.org/obo/OBI_0003253	cerebrospinal fluid microbiology datum
http://purl.obolibrary.org/obo/OBI_0003498	organism detection assay
http://purl.obolibrary.org/obo/OBI_0002738	organism detection by isoenzyme electrophoresis assay
http://purl.obolibrary.org/obo/OBI_0002740	organism detection by PCR assay
http://purl.obolibrary.org/obo/OBI_0002649	blood microbiology assay
http://purl.obolibrary.org/obo/OBI_0003381	placental blood microbiology assay
http://purl.obolibrary.org/obo/OBI_0003284	umbilical cord blood microbiology assay
http://purl.obolibrary.org/obo/OBI_0003282	lung microbiology assay
http://purl.obolibrary.org/obo/OBI_0002735	organism detection by size assay
http://purl.obolibrary.org/obo/OBI_0002737	organism detection by cytological chromosome examination assay
http://purl.obolibrary.org/obo/OBI_0002742	organism detection by salinity tolerance assay
http://purl.obolibrary.org/obo/OBI_0003039	feces microbiology assay
http://purl.obolibrary.org/obo/OBI_0001624	organism species detection assay
http://purl.obolibrary.org/obo/OBI_0003286	urine microbiology assay
http://purl.obolibrary.org/obo/OBI_0003283	pleural fluid microbiology assay
http://purl.obolibrary.org/obo/OBI_0003242	induced sputum microbiology assay
http://purl.obolibrary.org/obo/OBI_0003285	nasopharyngeal or oropharyngeal swab microbiology assay
http://purl.obolibrary.org/obo/OBI_0002489	differential medium assay
http://purl.obolibrary.org/obo/OBI_0002736	organism detection by cross mating assay
http://purl.obolibrary.org/obo/OBI_0002741	organism detection by specific DNA hybridization assay
http://purl.obolibrary.org/obo/OBI_0003240	cerebrospinal fluid microbiology assay
http://purl.obolibrary.org/obo/OBI_0003038	parasite detection assay
http://purl.obolibrary.org/obo/OBI_0003045	parasite detection by PCR assay
http://purl.obolibrary.org/obo/OBI_0003044	parasite species identification by PCR assay
http://purl.obolibrary.org/obo/OBI_0003042	optimal-IT rapid diagnostic test
http://purl.obolibrary.org/obo/OBI_0003041	falcivax rapid diagnostic test
http://purl.obolibrary.org/obo/OBI_0003037	malaria rapid diagnosis assay
http://purl.obolibrary.org/obo/OBI_0003036	Plasmodium gametocyte detection assay
http://purl.obolibrary.org/obo/OBI_0002739	organism detection by morphological examination assay
http://purl.obolibrary.org/obo/OBI_0002728	pathogen detection assay
http://purl.obolibrary.org/obo/OBI_0002731	pathogen detection by loop-mediated isothermal amplification assay
http://purl.obolibrary.org/obo/OBI_0002730	pathogen detection by Rapid Analyte Measurement Platform assay
http://purl.obolibrary.org/obo/OBI_0002729	VectorTest assay
http://purl.obolibrary.org/obo/OBI_0003241	endotracheal tube aspirate microbiology assay