EUPATH:0043116Ontology ID	Label	Parent	Equivalent axiom
ID		SC %	EC %
EUPATH:0043117	insecticide concentration in percent		(EUPATH:0043116 and IAO:0000039 only UO:0000187)
EUPATH:0043118	insecticide concentration in parts per notation unit		(EUPATH:0043116 and IAO:0000039 only UO:0000166)
EUPATH:0043119	insecticide concentration in area density unit		(EUPATH:0043116 and IAO:0000039 only UO:0000054)
EUPATH:0043120	insecticide concentration in mass density unit		(EUPATH:0043116 and IAO:0000039 only UO:0000052)
EUPATH:0043121	insecticide concentration in mass per standard assay bottle	EUPATH:0043116	
EUPATH:0043122	lethal insecticide concentration 50	EUPATH:0043116	
EUPATH:0043123	lethal insecticide concentration 50 in percent		(EUPATH:0043122 and IAO:0000039 only UO:0000187)
EUPATH:0043124	lethal insecticide concentration 50 in parts per notation unit		(EUPATH:0043122 and IAO:0000039 only UO:0000166)
EUPATH:0043125	lethal insecticide concentration 50 in area density unit		(EUPATH:0043122 and IAO:0000039 only UO:0000054)
EUPATH:0043126	lethal insecticide concentration 50 in mass density unit		(EUPATH:0043122 and IAO:0000039 only UO:0000052)
EUPATH:0043127	lethal insecticide concentration 50 in mass per standard assay bottle	EUPATH:0043122	
EUPATH:0043128	lethal insecticide concentration 95	EUPATH:0043116	
EUPATH:0043129	lethal insecticide concentration 95 in percent		(EUPATH:0043128 and IAO:0000039 only UO:0000187)
EUPATH:0043130	lethal insecticide concentration 95 in parts per notation unit		(EUPATH:0043128 and IAO:0000039 only UO:0000166)
EUPATH:0043131	lethal insecticide concentration 95 in area density unit		(EUPATH:0043128 and IAO:0000039 only UO:0000054)
EUPATH:0043132	lethal insecticide concentration 95 in mass density unit		(EUPATH:0043128 and IAO:0000039 only UO:0000052)
EUPATH:0043133	lethal insecticide concentration 95 in mass per standard assay bottle	EUPATH:0043128	
EUPATH:0043134	lethal insecticide concentration 99	EUPATH:0043116	
EUPATH:0043135	lethal insecticide concentration 99 in percent		(EUPATH:0043134 and IAO:0000039 only UO:0000187)
EUPATH:0043136	lethal insecticide concentration 99 in parts per notation unit		(EUPATH:0043134 and IAO:0000039 only UO:0000166)
EUPATH:0043137	lethal insecticide concentration 99 in area density unit		(EUPATH:0043134 and IAO:0000039 only UO:0000054)
EUPATH:0043138	lethal insecticide concentration 99 in mass density unit		(EUPATH:0043134 and IAO:0000039 only UO:0000052)
EUPATH:0043139	lethal insecticide concentration 99 in mass per standard assay bottle	EUPATH:0043134	
EUPATH:0043143	lethal insecticide concentration 90	EUPATH:0043116	
EUPATH:0043144	lethal insecticide concentration 90 in percent		(EUPATH:0043143 and IAO:0000039 only UO:0000187)
EUPATH:0043148	lethal insecticide concentration 90 in parts per notation unit		(EUPATH:0043143 and IAO:0000039 only UO:0000166)
EUPATH:0043149	lethal insecticide concentration 90 in area density unit		(EUPATH:0043143 and IAO:0000039 only UO:0000054)
EUPATH:0043150	lethal insecticide concentration 90 in mass density unit		(EUPATH:0043143 and IAO:0000039 only UO:0000052)
EUPATH:0043151	lethal insecticide concentration 90 in mass per standard assay bottle	EUPATH:0043143	
EUPATH:0043195	lethal insecticide concentration 100	EUPATH:0043116	
EUPATH:0043196	lethal insecticide concentration 100 in percent		(EUPATH:0043195 and IAO:0000039 only UO:0000187)